id,name,headquarters,employeesSize,industryType,websiteList/0,websiteList/1,websiteList/2,websiteList/3,happinessScore,reviewScore,jobOffersCount,websiteList/4,websiteList/5,websiteList/6,websiteList/7,websiteList/8,websiteList/9,websiteList/10,websiteList/11
3ea2eff9-2c0e-4f60-835d-35c098c23f3c,EMDS,"Stuttgart, GM",,Healthcare,https://www.emds-gmbh.de/,,,,,3.6,35,,,,,,,,
4bc65b0e-9aee-4d62-96ad-10d11cc55664,SeeScan,San Diego,51 to 200,,http://www.seescan.com/,,,,,3.2,25,,,,,,,,
00f76db2-9fa4-4e88-b6a1-23bc25777d6b,Brightside Health,Remote,,Healthcare,https://www.instagram.com/withbrightside,http://www.brightside.com/,https://www.brightside.com/,,,4.9,15,,,,,,,,
195a7a9b-9b2d-4d61-8db7-add2f4ca1e11,Pinnacle Group,Thrissur,11 to 50,Insurance,http://www.pinnaclejobs.com/,,,,,3.7,890,,,,,,,,
e05dac24-a188-4af3-8f2a-decad3b3cabd,Northern Arizona University,"Flagstaff, AZ","1,001 to 5,000",Education,https://www.nau.edu/,,,,72,4.2,179,,,,,,,,
33c4d315-cb10-48a9-b869-db9555cb1c8b,Capgemini,Place de l'Étoile 11 rue de Tilsitt 75017 Paris,"10,000+",Information Technology,https://www.capgemini.com/us-en/careers/,https://www.capgemini.com/careers/,,,64,3.8,2554,,,,,,,,
a437432f-86e8-4dd7-b10e-ce59bd1249be,Bevilacqua Research Corporation,Huntsville,201 to 500,,http://www.brc2.com/,,,,,4.3,9,,,,,,,,
099fb01c-0db0-4d72-a840-54300e898860,Shamrock Foods Company,"3900 E Camelback Rd # 300, Phoenix, AZ 85018","1,001 to 5,000",Manufacturing,https://jobs.shamrockfoods.com/,https://jobs.shamrockfoods.com/,,,59,3.2,95,,,,,,,,
5a9660a4-ce8d-47f8-a53a-d707fd6fddd7,Fitbit,San Francisco,"1,001 to 5,000",Manufacturing,http://www.fitbit.com/,,,,,3.6,40,,,,,,,,
23007cd1-5286-4d42-b53d-3f742beb2209,Motorola Solutions,"Chicago, IL","10,000+",Telecommunications,https://www.linkedin.com/company/motorolasolutions/careers?trk=top_nav_careers,"http://www.glassdoor.com/Overview/Working-at-Motorola-Solutions-EI_IE427189.11,29.htm",http://careers.motorolasolutions.com/,,73,4.1,617,,,,,,,,
a9e83ce4-f7a5-412b-a2ff-b81e2c3c4706,Clairvoyant,,,Software Development,,,,,,4,10,,,,,,,,
f46a76b8-8c71-4506-97df-917c5bb98955,Bounteous,"Chicago, IL",201 to 500,,https://www.bounteous.com/,,,,,3.8,51,,,,,,,,
